Tanggal,Parent Code, Net Profit (Rp) ,Child Code,Metode Pembayaran,Nama Patung,Child Product,Nama Artisan,Tour Guide,Jumlah, Selling Price per Unit (Rp) , Total Sales (Rp) , Cost Price per Unit (Rp) , Total Cost Price (Rp) ,Artisan Commission (%), Artisan Commission (Rp) ,Guide Commission (%), Guide Commission (Rp) 
11/28/2025,PRD-00017," Rp1,874,400 ",ITEM-00089,Credit Card,Barong Statue,Topeng Barong Kecil,I Nyoman Sudiarta,Nyoman Budi Santosa,2," Rp2,700,000 "," Rp5,400,000 "," Rp1,590,000 "," Rp3,180,000 ",5," Rp270,000 ",1.4," Rp75,600 "
11/29/2025,PRD-00008," Rp1,900,600 ",ITEM-00090,Credit Card,Moai Head Statue,Moai Batu Hitam,I Ketut Ardana,Ayu Cintya Dewi,2," Rp2,700,000 "," Rp5,400,000 "," Rp1,477,000 "," Rp2,954,000 ",8.5," Rp459,000 ",1.6," Rp86,400 "
11/30/2025,PRD-00011," Rp3,427,500 ",ITEM-00091,Credit Card,Tiger Statue,Harimau Siap Menerkam,I Gusti Ngurah Artawan,Dewa Gede Saputra,3," Rp2,700,000 "," Rp8,100,000 "," Rp1,382,000 "," Rp4,146,000 ",5.3," Rp429,300 ",1.2," Rp97,200 "
12/1/2025,PRD-00026," Rp1,522,800 ",ITEM-00092,Cash,Shiva Mahadeva Statue,Shiva Ukiran Halus,I Made Sutama,Rizky Pramana,1," Rp4,200,000 "," Rp4,200,000 "," Rp2,400,000 "," Rp2,400,000 ",5.5," Rp231,000 ",1.1," Rp46,200 "
12/2/2025,PRD-00006," Rp306,100 ",ITEM-00093,Credit Card,Rangda Statue,Rangda Berdiri Full Body,I Wayan Artika,Dewa Mahendra,1," Rp950,000 "," Rp950,000 "," Rp547,000 "," Rp547,000 ",8.3," Rp78,850 ",1.9," Rp18,050 "
12/3/2025,PRD-00027," Rp2,211,600 ",ITEM-00094,Debit,Rama & Shinta Statue,Rama & Shinta Berangkulan,I Nyoman Sucipta,Agung Aneka,3," Rp2,200,000 "," Rp6,600,000 "," Rp1,223,000 "," Rp3,669,000 ",9," Rp594,000 ",1.9," Rp125,400 "
12/4/2025,PRD-00028," Rp2,659,200 ",ITEM-00095,Cash,Lakshmi Statue,Laksmi Duduk Teratai,I Made Sutama,Wayan Wahyu Pratama,2," Rp3,800,000 "," Rp7,600,000 "," Rp2,193,000 "," Rp4,386,000 ",5.5," Rp418,000 ",1.8," Rp136,800 "
12/4/2025,PRD-00029," Rp424,250 ",ITEM-00096,Credit Card,Krishna Statue,Krisna Ukir Antik,I Ketut Dana,Komang Arya,1," Rp1,250,000 "," Rp1,250,000 "," Rp687,000 "," Rp687,000 ",9.7," Rp121,250 ",1.4," Rp17,500 "
12/5/2025,PRD-00025," Rp471,250 ",ITEM-00097,Credit Card,Hanoman Statue,Hanoman Putih Bakti,I Made Sutama,Ayu Lestari,1," Rp1,250,000 "," Rp1,250,000 "," Rp690,000 "," Rp690,000 ",5.5," Rp68,750 ",1.6," Rp20,000 "
12/5/2025,PRD-00019," Rp1,624,800 ",ITEM-00098,Credit Card,Goddess Saraswati Statue,Saraswati Ukir Halus,Ni Luh Sri Astuti,Kadek Surya,2," Rp2,200,000 "," Rp4,400,000 "," Rp1,194,000 "," Rp2,388,000 ",7.2," Rp316,800 ",1.6," Rp70,400 "
12/6/2025,PRD-00002," Rp1,480,400 ",ITEM-00099,Cash,Garuda Wisnu Statue,Garuda Wisnu Ukiran Detail,Ni Luh Sri Astuti,Komang Arya,2," Rp1,800,000 "," Rp3,600,000 "," Rp905,000 "," Rp1,810,000 ",7.2," Rp259,200 ",1.4," Rp50,400 "
12/7/2025,PRD-00030," Rp2,633,000 ",ITEM-00100,Credit Card,Stone Ganesha Statue,Ganesha Batu Paras,I Ketut Dana,Ayu Lestari,2," Rp3,500,000 "," Rp7,000,000 "," Rp1,788,000 "," Rp3,576,000 ",9.7," Rp679,000 ",1.6," Rp112,000 "
12/7/2025,PRD-00028," Rp859,800 ",ITEM-00101,Credit Card,Lakshmi Statue,Laksmi Duduk Teratai,I Nyoman Sucipta,Made Pratama,1," Rp2,200,000 "," Rp2,200,000 "," Rp1,107,000 "," Rp1,107,000 ",9," Rp198,000 ",1.6," Rp35,200 "
12/7/2025,PRD-00019," Rp1,604,400 ",ITEM-00102,Credit Card,Goddess Saraswati Statue,Saraswati dengan Angsa,I Wayan Artika,Dewa Mahendra,3," Rp1,600,000 "," Rp4,800,000 "," Rp902,000 "," Rp2,706,000 ",8.3," Rp398,400 ",1.9," Rp91,200 "
12/8/2025,PRD-00026," Rp2,075,400 ",ITEM-00103,Cash,Shiva Mahadeva Statue,Shiva Ukiran Halus,Ni Luh Sri Astuti,I wayan sudana ,3," Rp1,800,000 "," Rp5,400,000 "," Rp957,000 "," Rp2,871,000 ",7.2," Rp388,800 ",1.2," Rp64,800 "
12/11/2025,PRD-00002," Rp1,021,650 ",ITEM-00104,Credit Card,Garuda Wisnu Statue,Garuda Wisnu Ukiran Detail,Ni Luh Sri Astuti,Agus Santika,3," Rp950,000 "," Rp2,850,000 "," Rp523,000 "," Rp1,569,000 ",7.2," Rp205,200 ",1.9," Rp54,150 "
12/13/2025,PRD-00031," Rp1,244,400 ",ITEM-00105,Credit Card,Goddess Sri Statue,Dewi Sri Ukiran Klasik,I Ketut Dana,Made Pratama,1," Rp4,200,000 "," Rp4,200,000 "," Rp2,481,000 "," Rp2,481,000 ",9.7," Rp407,400 ",1.6," Rp67,200 "
12/13/2025,PRD-00026," Rp1,107,900 ",ITEM-00106,Cash,Shiva Mahadeva Statue,Shiva Menari (Nataraja),Ni Luh Sri Astuti,Bagus Adnyana,3," Rp950,000 "," Rp2,850,000 "," Rp499,000 "," Rp1,497,000 ",7.2," Rp205,200 ",1.4," Rp39,900 "
12/16/2025,PRD-00032," Rp1,533,200 ",ITEM-00107,Cash,Mini Barong Statue,Barong Mini Kayu,I Wayan Artika,Rizky Pramana,1," Rp4,200,000 "," Rp4,200,000 "," Rp2,272,000 "," Rp2,272,000 ",8.3," Rp348,600 ",1.1," Rp46,200 "
12/16/2025,PRD-00006," Rp1,191,200 ",ITEM-00108,Credit Card,Rangda Statue,Rangda Berdiri Full Body,I Ketut Dana,Komang Arya,1," Rp3,800,000 "," Rp3,800,000 "," Rp2,187,000 "," Rp2,187,000 ",9.7," Rp368,600 ",1.4," Rp53,200 "
12/18/2025,PRD-00033," Rp1,368,000 ",ITEM-00109,Cash,Naga Basuki Statue,Naga Basuki Ukir Kayu,I Ketut Dana,Pak Bagus Ketewel,3," Rp1,250,000 "," Rp3,750,000 "," Rp654,000 "," Rp1,962,000 ",9.7," Rp363,750 ",1.5," Rp56,250 "
12/22/2025,PRD-00032," Rp1,207,350 ",ITEM-00110,Cash,Mini Barong Statue,Barong Mini Merah,I Made Sutama,Komang Arya,3," Rp950,000 "," Rp2,850,000 "," Rp482,000 "," Rp1,446,000 ",5.5," Rp156,750 ",1.4," Rp39,900 "
12/30/2025,PRD-00030," Rp1,336,000 ",ITEM-00111,QRIS,Stone Ganesha Statue,Ganesha Batu Hitam,I Wayan Artika,Yudi Saputra,2," Rp1,800,000 "," Rp3,600,000 "," Rp952,000 "," Rp1,904,000 ",8.3," Rp298,800 ",1.7," Rp61,200 "
12/31/2025,PRD-00006," Rp726,200 ",ITEM-00112,Credit Card,Rangda Statue,Rangda Ukir Klasik,I Wayan Artika,Dewa Mahendra,2," Rp950,000 "," Rp1,900,000 "," Rp490,000 "," Rp980,000 ",8.3," Rp157,700 ",1.9," Rp36,100 "
12/31/2025,PRD-00025," Rp307,200 ",ITEM-00113,Credit Card,Hanoman Statue,Hanoman Putih Bakti,Ni Luh Sri Astuti,Agung Putri ,1," Rp950,000 "," Rp950,000 "," Rp563,000 "," Rp563,000 ",7.2," Rp68,400 ",1.2," Rp11,400 "
12/31/2025,PRD-00021," Rp3,655,500 ",ITEM-00114,QRIS,Dwarapala Statue,Dwarapala Klasik (Sepasang),I Made Sutama,Kadek Surya,3," Rp3,500,000 "," Rp10,500,000 "," Rp2,033,000 "," Rp6,099,000 ",5.5," Rp577,500 ",1.6," Rp168,000 "
1/3/2026,PRD-00019," Rp3,745,800 ",ITEM-00115,Cash,Goddess Saraswati Statue,Saraswati Ukir Halus,I Ketut Dana,Putu Wijaya,3," Rp3,800,000 "," Rp11,400,000 "," Rp2,141,000 "," Rp6,423,000 ",9.7," Rp1,105,800 ",1.1," Rp125,400 "
1/3/2026,PRD-00024," Rp567,400 ",ITEM-00116,Cash,Arjuna Statue,Arjuna Ukir Klasik,I Ketut Dana,Yudi Saputra,2," Rp950,000 "," Rp1,900,000 "," Rp558,000 "," Rp1,116,000 ",9.7," Rp184,300 ",1.7," Rp32,300 "
1/5/2026,PRD-00028," Rp1,150,500 ",ITEM-00117,Debit,Lakshmi Statue,Laksmi Duduk Teratai,Ni Luh Sri Astuti,Agus Santika,1," Rp3,500,000 "," Rp3,500,000 "," Rp2,031,000 "," Rp2,031,000 ",7.2," Rp252,000 ",1.9," Rp66,500 "
1/5/2026,PRD-00006," Rp1,472,800 ",ITEM-00118,Credit Card,Rangda Statue,Rangda Berdiri Full Body,I Made Sutama,Yudi Saputra,2," Rp1,800,000 "," Rp3,600,000 "," Rp934,000 "," Rp1,868,000 ",5.5," Rp198,000 ",1.7," Rp61,200 "
1/6/2026,PRD-00019," Rp1,623,000 ",ITEM-00119,Cash,Goddess Saraswati Statue,Saraswati Ukir Halus,I Nyoman Sucipta,Yoga Mahendra ,3," Rp1,800,000 "," Rp5,400,000 "," Rp1,061,000 "," Rp3,183,000 ",9," Rp486,000 ",2," Rp108,000 "
1/12/2026,PRD-00024," Rp1,217,200 ",ITEM-00120,Credit Card,Arjuna Statue,Arjuna Ukir Klasik,I Ketut Dana,Putu Wijaya,2," Rp1,800,000 "," Rp3,600,000 "," Rp997,000 "," Rp1,994,000 ",9.7," Rp349,200 ",1.1," Rp39,600 "
1/13/2026,PRD-00029," Rp1,089,000 ",ITEM-00121,Cash,Krishna Statue,Krisna Kecil (Bala Krishna),I Ketut Dana,Rizky Pramana,1," Rp3,500,000 "," Rp3,500,000 "," Rp2,033,000 "," Rp2,033,000 ",9.7," Rp339,500 ",1.1," Rp38,500 "
1/18/2026,PRD-00002," Rp1,644,600 ",ITEM-00122,Credit Card,Garuda Wisnu Statue,Garuda Wisnu Kencana Mini,I Nyoman Sucipta,Made Pratama,3," Rp1,800,000 "," Rp5,400,000 "," Rp1,061,000 "," Rp3,183,000 ",9," Rp486,000 ",1.6," Rp86,400 "
1/19/2026,PRD-00021," Rp4,493,400 ",ITEM-00123,Credit Card,Dwarapala Statue,Dwarapala Klasik (Sepasang),I Made Sutama,Ketut Sudana,3," Rp3,800,000 "," Rp11,400,000 "," Rp2,021,000 "," Rp6,063,000 ",5.5," Rp627,000 ",1.9," Rp216,600 "
1/20/2026,PRD-00026," Rp757,100 ",ITEM-00124,Cash,Shiva Mahadeva Statue,Shiva Menari (Nataraja),Ni Luh Sri Astuti,Agung Aneka,2," Rp950,000 "," Rp1,900,000 "," Rp485,000 "," Rp970,000 ",7.2," Rp136,800 ",1.9," Rp36,100 "
1/20/2026,PRD-00019," Rp514,500 ",ITEM-00125,Cash,Goddess Saraswati Statue,Saraswati Ukir Halus,I Made Sutama,Putu Wijaya,1," Rp1,250,000 "," Rp1,250,000 "," Rp653,000 "," Rp653,000 ",5.5," Rp68,750 ",1.1," Rp13,750 "
1/22/2026,PRD-00024," Rp4,062,600 ",ITEM-00126,Cash,Arjuna Statue,Arjuna Memanah,I Wayan Artika,Ida Bagus Putra,3," Rp3,800,000 "," Rp11,400,000 "," Rp2,062,000 "," Rp6,186,000 ",8.3," Rp946,200 ",1.8," Rp205,200 "
1/26/2026,PRD-00026," Rp3,923,400 ",ITEM-00127,Cash,Shiva Mahadeva Statue,Shiva Ukiran Halus,I Made Sutama,Dewa Mahendra,3," Rp3,800,000 "," Rp11,400,000 "," Rp2,211,000 "," Rp6,633,000 ",5.5," Rp627,000 ",1.9," Rp216,600 "
1/26/2026,PRD-00033," Rp1,700,400 ",ITEM-00128,Credit Card,Naga Basuki Statue,Naga Basuki Ukir Kayu,I Wayan Artika,Arimbawa ,3," Rp1,800,000 "," Rp5,400,000 "," Rp1,055,000 "," Rp3,165,000 ",8.3," Rp448,200 ",1.6," Rp86,400 "
1/27/2026,PRD-00034," Rp1,650,000 ",ITEM-00129,Credit Card,Meditating Buddha Statue,Buddha Meditasi Besar,I Made Sutama,Putra Kencana,1," Rp3,800,000 "," Rp3,800,000 "," Rp1,903,000 "," Rp1,903,000 ",5.5," Rp209,000 ",1," Rp38,000 "
1/27/2026,PRD-00029," Rp3,989,400 ",ITEM-00130,Credit Card,Krishna Statue,Krisna Ukir Antik,I Wayan Artika,Agung Sudibya,3," Rp3,800,000 "," Rp11,400,000 "," Rp2,094,000 "," Rp6,282,000 ",8.3," Rp946,200 ",1.6," Rp182,400 "
1/28/2026,PRD-00028," Rp2,746,000 ",ITEM-00131,QRIS,Lakshmi Statue,Laksmi Duduk Teratai,I Made Sutama,Putu Wijaya,2," Rp3,500,000 "," Rp7,000,000 "," Rp1,896,000 "," Rp3,792,000 ",5.5," Rp385,000 ",1.1," Rp77,000 "
1/29/2026,PRD-00033," Rp342,850 ",ITEM-00132,Credit Card,Naga Basuki Statue,Naga Basuki Melingkar,I Ketut Dana,Kresna Putra,1," Rp950,000 "," Rp950,000 "," Rp496,000 "," Rp496,000 ",9.7," Rp92,150 ",2," Rp19,000 "
1/30/2026,PRD-00006," Rp760,800 ",ITEM-00133,Debit,Rangda Statue,Topeng Rangda Mini,Ni Luh Sri Astuti,Kadek Surya,2," Rp950,000 "," Rp1,900,000 "," Rp486,000 "," Rp972,000 ",7.2," Rp136,800 ",1.6," Rp30,400 "
1/30/2026,PRD-00031," Rp471,750 ",ITEM-00134,Cash,Goddess Sri Statue,Dewi Sri Pembawa Padi,Ni Luh Sri Astuti,Yoga Wijaya,1," Rp1,250,000 "," Rp1,250,000 "," Rp667,000 "," Rp667,000 ",7.2," Rp90,000 ",1.7," Rp21,250 "
